data_id,language,form,age,gender,mom_ed,comprehension,production
86871,English (British),TEDS Twos,24,Female,Some College,69,69
86872,English (British),TEDS Twos,24,Female,Some College,75,75
86873,English (British),TEDS Twos,24,Male,Graduate,34,34
86874,English (British),TEDS Twos,24,Male,Graduate,23,23
86875,English (British),TEDS Twos,24,Male,Some Secondary,20,20
86876,English (British),TEDS Twos,24,Male,Some Secondary,32,32
86877,English (British),TEDS Twos,24,Female,Some Secondary,3,3
86878,English (British),TEDS Twos,24,Male,Some Secondary,3,3
86879,English (British),TEDS Twos,25,Female,Primary,42,42
86880,English (British),TEDS Twos,25,Female,Primary,93,93
86881,English (British),TEDS Twos,24,Female,Secondary,89,89
86882,English (British),TEDS Twos,24,Female,Secondary,97,97
86883,English (British),TEDS Twos,23,Male,None,24,24
86884,English (British),TEDS Twos,23,Male,None,27,27
86885,English (British),TEDS Twos,24,Female,None,100,100
86886,English (British),TEDS Twos,24,Male,None,90,90
86887,English (British),TEDS Twos,24,Male,Secondary,25,25
86888,English (British),TEDS Twos,24,Female,Secondary,23,23
86889,English (British),TEDS Twos,23,Male,Some College,61,61
86890,English (British),TEDS Twos,23,Male,Some College,59,59
86891,English (British),TEDS Twos,24,Male,Secondary,96,96
86892,English (British),TEDS Twos,24,Male,Secondary,0,0
86893,English (British),TEDS Twos,24,Male,Some Secondary,96,96
86894,English (British),TEDS Twos,24,Male,Some Secondary,91,91
86895,English (British),TEDS Twos,23,Male,Primary,73,73
86896,English (British),TEDS Twos,23,Male,Primary,56,56
86897,English (British),TEDS Twos,24,Male,Primary,68,68
86898,English (British),TEDS Twos,24,Female,Primary,63,63
86899,English (British),TEDS Twos,34,Male,NA,0,0
86900,English (British),TEDS Twos,34,Female,NA,0,0
86901,English (British),TEDS Twos,23,Male,Some Secondary,43,43
86902,English (British),TEDS Twos,23,Male,Some Secondary,43,43
86903,English (British),TEDS Twos,24,Female,Some Secondary,100,100
86904,English (British),TEDS Twos,24,Female,Some Secondary,100,100
86905,English (British),TEDS Twos,24,Male,Secondary,44,44
86906,English (British),TEDS Twos,24,Male,Secondary,48,48
86907,English (British),TEDS Twos,26,Female,Graduate,69,69
86908,English (British),TEDS Twos,24,Female,Graduate,57,57
86909,English (British),TEDS Twos,25,Female,Graduate,64,64
86910,English (British),TEDS Twos,25,Female,Graduate,71,71
86911,English (British),TEDS Twos,24,Female,Some Secondary,76,76
86912,English (British),TEDS Twos,24,Female,Some Secondary,74,74
86913,English (British),TEDS Twos,24,Male,Primary,96,96
86914,English (British),TEDS Twos,24,Female,Primary,87,87
86915,English (British),TEDS Twos,24,Female,Some Secondary,33,33
86916,English (British),TEDS Twos,24,Female,Some Secondary,33,33
86917,English (British),TEDS Twos,24,Female,Some Secondary,54,54
86918,English (British),TEDS Twos,24,Female,Some Secondary,55,55
86919,English (British),TEDS Twos,27,Female,Secondary,73,73
86920,English (British),TEDS Twos,27,Male,Secondary,72,72
86921,English (British),TEDS Twos,24,Female,Some Secondary,65,65
86922,English (British),TEDS Twos,24,Female,Some Secondary,65,65
86923,English (British),TEDS Twos,23,Female,Graduate,61,61
86924,English (British),TEDS Twos,23,Female,Graduate,72,72
86925,English (British),TEDS Twos,24,Male,Primary,32,32
86926,English (British),TEDS Twos,24,Male,Primary,34,34
86929,English (British),TEDS Twos,23,Male,Graduate,11,11
