id,age,age_2,age_3,rt
294,43,young-ish,young-ish,483.333333333333
295,36,young-ish,young-ish,475.666666666667
296,70,old-ish,middle,768.666666666667
297,72,old-ish,middle,696.333333333333
298,85,old-ish,old-ish,916.333333333333
299,27,young-ish,young-ish,493.333333333333
300,67,old-ish,middle,724.333333333333
301,79,old-ish,old-ish,649
302,66,old-ish,middle,623
303,68,old-ish,middle,718.666666666667
304,69,old-ish,middle,767.666666666667
305,86,old-ish,old-ish,1527
306,23,young-ish,young-ish,555
307,24,young-ish,young-ish,448.333333333333
308,26,young-ish,young-ish,514.333333333333
309,69,old-ish,middle,652.333333333333
310,63,old-ish,middle,579
311,75,old-ish,old-ish,899
312,51,young-ish,middle,542
313,78,old-ish,old-ish,1270.66666666667
314,54,young-ish,middle,602.333333333333
315,83,old-ish,old-ish,1079.33333333333
316,41,young-ish,young-ish,565
317,73,old-ish,old-ish,769
318,95,old-ish,old-ish,1341.33333333333
319,66,old-ish,middle,746
320,71,old-ish,middle,550.333333333333
321,70,old-ish,middle,797.333333333333
322,88,old-ish,old-ish,814.666666666667
323,55,young-ish,middle,597.333333333333
324,67,old-ish,middle,605
325,41,young-ish,young-ish,578.666666666667
326,50,young-ish,middle,545
327,83,old-ish,old-ish,660.666666666667
328,81,old-ish,old-ish,604.666666666667
329,68,old-ish,middle,601.666666666667
330,79,old-ish,old-ish,1037.66666666667
331,26,young-ish,young-ish,410.333333333333
332,45,young-ish,young-ish,556.333333333333
333,84,old-ish,old-ish,846.333333333333
334,49,young-ish,middle,529.666666666667
335,25,young-ish,young-ish,455.666666666667
336,65,old-ish,middle,855.333333333333
337,50,young-ish,middle,469.666666666667
338,63,old-ish,middle,637
339,71,old-ish,middle,779
340,27,young-ish,young-ish,435.666666666667
341,81,old-ish,old-ish,411
342,60,old-ish,middle,708
343,71,old-ish,middle,565
344,48,young-ish,middle,445.333333333333
345,95,old-ish,old-ish,750
346,41,young-ish,young-ish,552.666666666667
347,77,old-ish,old-ish,694.333333333333
348,54,young-ish,middle,599
349,64,old-ish,middle,651.333333333333
350,46,young-ish,young-ish,525
351,70,old-ish,middle,615.333333333333
352,23,young-ish,young-ish,450.333333333333
353,55,young-ish,middle,412
354,93,old-ish,old-ish,649.333333333333
355,81,old-ish,old-ish,916.333333333333
